numVersA,numVersB,numDistinctDepDecs,avgMajorVersBehind,avgMinorVersBehind,avgMicroVersBehind,numMajorDecChanges,numMinorDecChanges,numMicroDecChanges,numBackwardsDecChanges,
org.apereo.cas:cas-server-support-jdbc-drivers::org.springframework:spring-messaging,56,57,11,0.733333,0,0.666667,0,0,21,10
org.springframework.integration:spring-integration-xml::org.springframework:spring-context,92,74,10,0.5,0.333333,0.444444,14,0,3,8
org.apereo.cas:cas-server-core-api-util::org.springframework:spring-orm,58,81,16,0.458333,0,1.1875,0,0,39,19
pl.allegro.tech.hermes:hermes-consumers::org.eclipse.jetty:jetty-client,67,229,2,0,0.694915,4.966102,0,0,20,10
org.apereo.cas:cas-server-core-services::com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,50,93,1,0,0,0.5,0,0,0,0
org.ninjaframework:ninja-core::com.fasterxml.jackson.dataformat:jackson-dataformat-xml,67,97,4,0,0.3,0.95,0,5,7,5
org.apereo.cas:cas-server-core-webflow::com.zaxxer:HikariCP,58,54,11,0.113208,0.301887,0.811321,13,22,2,17
au.com.dius:pact-jvm-provider-maven_2.11::org.codehaus.groovy:groovy-all,111,150,8,0.090909,0.527273,1.454545,0,16,45,29
com.android.tools.build:gradle::com.android.tools.lint:lint,53,65,37,0,0,0,12,13,14,19
org.apereo.cas:cas-server-core-validation::com.github.axet:wget,58,58,1,0,0,0,0,0,0,0
com.netflix.eureka:eureka-client::com.netflix.governator:governator,147,94,5,0,1.519231,2.653846,0,25,0,12
org.apereo.cas:cas-server-support-jdbc-drivers::org.hibernate:hibernate-hikaricp,56,76,9,0,0.666667,1.291667,0,2,10,6
com.netflix.eureka:eureka-server::com.sun.jersey:jersey-server,100,58,2,0,3.17284,0.901235,0,21,0,10
com.linecorp.armeria:armeria::net.javacrumbs.json-unit:json-unit,112,53,2,0,0.294118,0,0,9,0,4
org.springframework.integration:spring-integration-jms::org.springframework:spring-jms,92,85,43,0.20339,0.254237,0.237288,33,23,2,26
com.github.bingoohuang:eql::org.springframework:spring-test,75,61,1,0,1.290323,2.967742,0,0,0,0
io.vertx:vertx-core::io.netty:netty-all,52,113,14,0.580645,0.354839,0.935484,0,0,17,10
com.hazelcast:hazelcast-jca::nl.jqno.equalsverifier:equalsverifier,50,58,1,0.6,0,4.266667,0,0,0,0
org.springframework.security:spring-security-acl::org.springframework:spring-tx,50,84,11,0.578947,0,0.578947,12,0,4,8
com.ibeetl:beetl::org.springframework:spring-webmvc,57,75,1,0.214286,0.714286,6.232143,0,0,0,0
org.apereo.cas:cas-server-core-util::com.nimbusds:oauth2-oidc-sdk,55,170,5,0.133333,7.6,0,0,5,0,3
org.apereo.cas:cas-server-core-tickets::org.springframework:spring-jdbc,58,89,15,0.675676,0,0.621622,2,1,26,13
org.grails:grails-datastore-gorm-hibernate::org.hibernate:hibernate-core,58,171,1,1.575758,0,0,0,0,0,0
org.ninjaframework:ninja-core::net.sf.ehcache:ehcache,67,80,1,0,0,1.333333,0,0,0,0
com.netflix.governator:governator-jetty::com.fasterxml.jackson.core:jackson-databind,64,110,1,0,2.157895,3,0,0,0,0
io.prismic:scala-kit_2.10::com.ning:async-http-client,62,126,1,0,1,4.8,0,0,0,0
org.ninjaframework:ninja-core::org.hibernate:hibernate-c3p0,67,147,1,0,1,1.857143,0,0,0,0
org.apereo.cas:cas-server-support-oidc-core::com.zaxxer:HikariCP,56,54,12,0.12963,0.277778,0.87037,15,21,3,19
org.craftercms:crafter-core::com.fasterxml.jackson.core:jackson-databind,54,110,1,0,4.125,1.8125,0,0,0,0
org.apereo.cas:cas-server-support-jpa-util::org.hibernate:hibernate-entitymanager,58,153,14,0,0.321429,2.178571,0,5,41,22
org.apereo.cas:cas-server-core-util::org.springframework:spring-context,55,74,16,0,0.026316,0.552632,0,2,27,14
org.http4s:http4s-blaze-client_2.10::org.scalaz:scalaz-scalacheck-binding_2.10,56,106,13,0,1.392157,1.039216,0,15,25,19
org.kuali.rice:rice-it-ken::org.eclipse.jetty:jetty-http,77,231,1,0,2,11.333333,0,0,0,0
org.kohsuke:github-api::com.fasterxml.jackson.core:jackson-databind,77,110,2,0,3.710526,0.710526,0,2,0,1
org.grails:grails-datastore-gorm-hibernate4::org.grails:grails-plugin-controllers,85,114,5,0,0,0,0,0,7,2
top.ibase4j:ibase4j-common::com.alibaba:dubbo,53,52,4,0,0.22,1.62,0,6,7,6
