Project, Dependency
875177,254998
809490,194077
3108745,219282
233321,229838
808658,220710
265948,267353
267102,231367
267106,231243
234098,206235
271780,86779
239279,45651
198290,267956
234488,194386
234103,206235
1587118,205406
233962,210795
774043,245694
266855,239884
2702386,236630
2702386,236651
808037,240069
267549,218244
63544,251234
232548,255003
2600972,233284
1111642,266656
233975,211046
232660,251795
200080,213195
2842520,1133780
198615,258714
199223,239884
267686,214626
198564,260496
1585694,250687
266492,251919
198437,264449
233266,233289
266492,251999
2026740,209942
266492,251795
1416038,267353
774043,246426
268661,184832
232876,245694
807270,265792
740458,239884
232660,252678
65575,189640
233428,229156
266584,249741
266586,249741
2026740,211121
2026740,211035
2026740,211046
944200,215767
1654369,220069
1654369,220073
266165,262970
266165,263004
232870,246658
773971,249668
199095,245284
3263077,2779847
200758,193654
233197,236630
199223,241378
773973,249668
199095,245694
199095,245703
1147866,194386
239279,48535
2026740,212402
199714,226643
2702060,247187
3108062,244062
2735958,245072
2735959,245072
69492,69481
266063,267353
69492,69450
199095,246161
232362,263611
200078,215767
266064,267353
239279,49261
266583,251694
266586,251795
1180062,245216
232660,255108
2026740,213033
233972,214626
3243426,245284
266556,252967
199336,239884
199813,225113
64442,227207
198423,268167
1708568,1687341
198688,260496
198377,270177
2702386,239884
65340,200232
2229499,219282
234534,198285
198921,253674
1687711,237982
200354,209604
267135,236630
